,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
0,402,0.02003623,402,0.019464356,402,0.01871028,402,0.018016875
1,167,0.014754629,167,0.013334738,167,0.013394708,167,0.013263059
2,567,0.014459495,183,0.012698966,567,0.012412601,171,0.012788775
3,183,0.01299055,567,0.012344405,171,0.012163728,567,0.012184338
4,619,0.01137116,171,0.011553016,183,0.011225575,278,0.011198489
5,228,0.011225653,619,0.010941557,278,0.01061313,228,0.011148927
6,171,0.010999372,228,0.010667021,228,0.010186731,183,0.009829095
7,304,0.010438717,278,0.010159585,619,0.010082337,533,0.009787437
8,270,0.009988233,304,0.01002436,304,0.009789967,304,0.009544301
9,278,0.009823862,462,0.009419298,462,0.009597127,462,0.009383216
10,462,0.009150987,533,0.009017612,533,0.009329989,609,0.009230024
11,250,0.009139947,250,0.008994764,245,0.008983317,245,0.009072079
12,533,0.008717026,245,0.008783938,250,0.008888374,250,0.008467991
13,245,0.008405538,270,0.008468154,609,0.008646425,619,0.008386655
14,307,0.008373237,452,0.008337378,452,0.008233125,374,0.008264013
15,452,0.008360029,609,0.008276057,374,0.008011833,452,0.008020012
16,242,0.008116154,374,0.007754525,242,0.007735925,242,0.007469553
17,609,0.008047531,307,0.007714523,17,0.007298932,17,0.007201193
18,430,0.0078093,242,0.007562199,307,0.006848525,192,0.006646824
19,247,0.00775068,430,0.007362028,283,0.006549346,381,0.006644626
20,327,0.00770739,17,0.007294522,381,0.006486215,283,0.006564955
21,288,0.007609665,288,0.00695227,192,0.006481342,270,0.006421907
22,374,0.007560027,391,0.006801768,391,0.006444368,297,0.006304442
23,192,0.007434732,327,0.006627636,13,0.00626684,391,0.006253134
24,391,0.007414867,192,0.006570151,297,0.006215909,288,0.006141896
25,496,0.007383313,496,0.006546994,270,0.00612072,13,0.005893903
26,451,0.007256311,283,0.006546732,430,0.006060226,530,0.005803375
27,17,0.007181305,378,0.00638461,530,0.005969223,164,0.005788483
28,378,0.006835592,13,0.006340057,442,0.005942926,287,0.005751494
29,257,0.006604501,255,0.006306902,288,0.00586358,307,0.005693382
30,13,0.006595743,297,0.006267389,265,0.00586268,311,0.00569046
31,291,0.006534727,381,0.006256372,287,0.005843787,442,0.005671522
32,231,0.006520617,265,0.006183056,291,0.005838403,291,0.005508843
33,265,0.006498736,442,0.006139739,255,0.005823424,265,0.005472142
34,297,0.006420439,257,0.006078372,257,0.005821523,293,0.005471474
35,283,0.006369654,291,0.006001783,199,0.005679378,313,0.005471311
36,255,0.006316938,199,0.005989837,378,0.005667448,181,0.0054607
37,199,0.006209971,530,0.005980137,313,0.005647671,188,0.005455496
38,442,0.006205875,287,0.005902612,164,0.005646457,255,0.00544135
39,266,0.006195199,182,0.005888083,227,0.005626929,257,0.00541368
40,188,0.006169793,2,0.005807812,182,0.005575694,227,0.005408328
41,77,0.006060835,451,0.005762429,2,0.005499881,24,0.005292812
42,381,0.006032178,266,0.005718651,181,0.005484366,460,0.005287131
43,227,0.00602635,313,0.005670051,326,0.005440564,326,0.005271361
44,530,0.005998124,227,0.005589876,293,0.005322543,2,0.005265266
45,182,0.005979321,181,0.005561057,188,0.005307676,173,0.005189366
46,287,0.00595503,164,0.005532764,24,0.005272296,199,0.005189032
47,203,0.005954876,63,0.005491503,311,0.005261656,82,0.005117058
48,63,0.00588126,24,0.005386199,460,0.005235009,98,0.005072813
49,422,0.005822863,203,0.005377802,63,0.005123259,422,0.004974526
50,385,0.005805423,188,0.005337209,422,0.005103919,202,0.004961752
51,2,0.005785141,326,0.005332758,537,0.005093611,316,0.004940303
52,313,0.005784478,422,0.005308615,419,0.005024117,581,0.00484841
53,181,0.005698477,537,0.005282341,327,0.005009578,580,0.004819937
54,92,0.005630714,293,0.005213811,202,0.004992131,537,0.00480303
55,263,0.005613185,77,0.005203674,451,0.004916613,306,0.004800198
56,537,0.005452813,263,0.005150042,98,0.004903245,116,0.004787435
57,326,0.005380086,460,0.005149366,306,0.004893674,492,0.004773457
58,24,0.005360803,419,0.005136682,203,0.004881465,419,0.00474152
59,164,0.005310802,92,0.005106475,173,0.004872899,237,0.004679296
60,11,0.005292185,11,0.005064648,82,0.004865166,282,0.004579144
61,419,0.005212435,306,0.005014639,496,0.004838165,411,0.004563081
62,289,0.005190503,611,0.00500246,611,0.004828338,11,0.004547545
63,202,0.005187416,311,0.004949837,77,0.00481357,203,0.004521986
64,293,0.005178936,237,0.004899294,11,0.00475827,63,0.004500494
65,306,0.005149958,202,0.004873807,263,0.004750921,611,0.004493405
66,425,0.005144381,82,0.004849632,581,0.004735853,275,0.0044596
67,607,0.005058565,98,0.004808772,237,0.004735374,378,0.004457355
68,460,0.004985494,289,0.004750087,316,0.004698657,15,0.00430985
69,8,0.004980119,581,0.004742603,266,0.004684448,172,0.004309561
70,611,0.004978525,282,0.004727066,116,0.004679404,92,0.004294624
71,197,0.004971287,231,0.004708632,282,0.004555612,8,0.004285163
72,282,0.004955995,173,0.004664171,580,0.004542749,90,0.004276469
73,82,0.004931466,500,0.004660388,492,0.004542007,117,0.004251402
74,237,0.004923964,116,0.004652991,92,0.004524888,97,0.004250224
75,73,0.00490761,8,0.004629434,289,0.004490267,328,0.004237586
76,581,0.004847482,275,0.004546553,275,0.004472689,621,0.004230832
77,116,0.004832979,316,0.004544528,411,0.004469034,451,0.00423038
78,104,0.004829235,544,0.004537926,8,0.004392502,263,0.004210518
79,544,0.004823445,425,0.004529329,172,0.004344686,544,0.004195414
80,311,0.004814827,411,0.004529049,176,0.004324076,329,0.004157731
81,97,0.004762318,73,0.004520377,544,0.004297613,182,0.004140764
82,500,0.004748074,176,0.004479912,97,0.004295995,376,0.004134565
83,98,0.004728871,97,0.004479001,500,0.004266176,289,0.004120551
84,173,0.004696688,96,0.00443051,113,0.004258249,252,0.004087988
85,492,0.004677236,385,0.00441477,385,0.00423767,430,0.004066558
86,176,0.004671127,172,0.004406859,96,0.004236488,60,0.004063806
87,275,0.004659366,160,0.004391921,1,0.004210004,88,0.00406082
88,411,0.004638564,607,0.00438888,90,0.004201185,397,0.004059013
89,605,0.004631973,113,0.004372411,15,0.004187331,1,0.004045603
90,316,0.004615818,492,0.004371124,328,0.004184789,96,0.004021123
91,295,0.00461182,580,0.004349614,310,0.00416881,385,0.004014151
